Data;Tipo_Equipamento;Nome_empresa;Nome_Responsavel;Local;Unidade;Patrimonio;Fabricante;Modelo;Service_Tag;CPU;Drive_HD;Nome_PC;Memoria;Sistema_Operacional;Arquitetura
25/08/2023;Notebook;MIRA;Paulo;TI;BH;123;Dell Inc.;Vostro 15 3510;CM3V6Q3;Intel Core i5-1035G1 CPU @ 1.00GHz;"221,9697266";MIRA-11;8192;Microsoft Windows 11 Pro;64-bit
25/08/2023;Monitor;MIRA;Paulo;TI;BH;123;Dell Inc.;DELL E1909W;X336G93H13JM;;;;;;
